"","OTU","Sample","Abundance","sample_id","collection_date","Location","sublocation1","sublocation2","distance","distance_bin","sample_type","composition","target_gene","target_subfragment","TKN","NH3","TS","VS","TSS","pH","DO","Kingdom","Phylum"
"1082","OTU893","19Lf",0.00177160471955497,"19Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","108",NA,"innertube_sludge","liquid","16s","v4",391,54.3,1.9,1.5,1.8,NA,NA,"Bacteria","Thermi"
"197","OTU1382","18Lf",0.00170712554201236,"18Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","120",NA,"innertube_sludge","liquid","16s","v4",455,55.4,1.9,1.5,2.28,NA,408,"Bacteria","WPS-2"
"205","OTU1382","10Lf",0.00166662500104164,"10Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","liquid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","WPS-2"
"256","OTU2205","10Lf",0.00166662500104164,"10Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","liquid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","ZB2"
"734","OTU582","10Lf",0.00166662500104164,"10Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","84",NA,"innertube_sludge","liquid","16s","v4",78.6,36.5,1.1,0.8,1.8,NA,616.5,"Bacteria","Crenarchaeota"
"136","OTU1244","4Lf",0.00159943699817664,"4Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","12",NA,"innertube_sludge","liquid","16s","v4",74.9,31.9,1.4,0.9,1.6,NA,237,"Bacteria","TM7"
"461","OTU406","4Lf",0.00159943699817664,"4Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","12",NA,"innertube_sludge","liquid","16s","v4",74.9,31.9,1.4,0.9,1.6,NA,237,"Bacteria","WS3"
"738","OTU582","4Lf",0.00159943699817664,"4Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","12",NA,"innertube_sludge","liquid","16s","v4",74.9,31.9,1.4,0.9,1.6,NA,237,"Bacteria","Crenarchaeota"
"910","OTU769","4Lf",0.00159943699817664,"4Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","12",NA,"innertube_sludge","liquid","16s","v4",74.9,31.9,1.4,0.9,1.6,NA,237,"Bacteria","Elusimicrobia"
"122","OTU1244","11Sf",0.001573192794777,"11Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","96",NA,"innertube_sludge","solid","16s","v4",168,37.3,1.4,1,2.12,NA,828,"Bacteria","TM7"
"224","OTU1382","8Lf",0.00155320503859715,"8Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","60",NA,"innertube_sludge","liquid","16s","v4",701,72.5,3.6,2.3,3.061,NA,402,"Bacteria","WPS-2"
"130","OTU1244","9Lf",0.0014957968109612,"9Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","72",NA,"innertube_sludge","liquid","16s","v4",150,47.6,2.1,1.7,2.48,NA,588,"Bacteria","TM7"
"279","OTU2205","9Lf",0.0014957968109612,"9Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","72",NA,"innertube_sludge","liquid","16s","v4",150,47.6,2.1,1.7,2.48,NA,588,"Bacteria","ZB2"
"280","OTU2205","9Sf",0.00145072608840725,"9Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","72",NA,"innertube_sludge","solid","16s","v4",150,47.6,2.1,1.7,2.48,NA,588,"Bacteria","ZB2"
"41","OTU1007","17Lf",0.00144179474609995,"17Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","132",NA,"innertube_sludge","liquid","16s","v4",151,48.5,1.2,1,2.16,NA,804,"Bacteria","SC4"
"135","OTU1244","17Lf",0.00144179474609995,"17Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","132",NA,"innertube_sludge","liquid","16s","v4",151,48.5,1.2,1,2.16,NA,804,"Bacteria","TM7"
"1073","OTU893","17Lf",0.00144179474609995,"17Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","132",NA,"innertube_sludge","liquid","16s","v4",151,48.5,1.2,1,2.16,NA,804,"Bacteria","Thermi"
"75","OTU1028","7Sf",0.00139911016593447,"7Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","solid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","ABY1_OD1"
"889","OTU732","7Sf",0.00139911016593447,"7Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","48",NA,"innertube_sludge","solid","16s","v4",139,32.3,1.9,1.5,2.12,NA,640.5,"Bacteria","Fibrobacteres"
"890","OTU732","18Sf",0.00136537411250683,"18Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","120",NA,"innertube_sludge","solid","16s","v4",455,55.4,1.9,1.5,2.28,NA,408,"Bacteria","Fibrobacteres"
"917","OTU769","18Sf",0.00136537411250683,"18Sf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","120",NA,"innertube_sludge","solid","16s","v4",455,55.4,1.9,1.5,2.28,NA,408,"Bacteria","Elusimicrobia"
"43","OTU1007","11Lf",0.00132459103251871,"11Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","96",NA,"innertube_sludge","liquid","16s","v4",168,37.3,1.4,1,2.12,NA,828,"Bacteria","SC4"
"62","OTU1028","11Lf",0.00132459103251871,"11Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","96",NA,"innertube_sludge","liquid","16s","v4",168,37.3,1.4,1,2.12,NA,828,"Bacteria","ABY1_OD1"
"204","OTU1382","11Lf",0.00132459103251871,"11Lf","11/13/2017","MASSTC","MASSTC_ITT","MASSTC_ITT","96",NA,"innertube_sludge","liquid","16s","v4",168,37.3,1.4,1,2.12,NA,828,"Bacteria","WPS-2"
